Date,BAH,AXP,APPF,ACLX,COF,NFLX,ALLY,AYI,EXP,CL,LDOS,DBRG,PSX,PAA,RGEN,PAGP,AMZN,SYF,KKR,BRK-B,LLYVA,ET,CSX,USM,SWTX,NRG,BRK-A,DLR,STX,WEX,FLT,TDG,MLI,NBIX,VST,OWL,GD,FCNCA,ARES,MRK,BWXT,VRRM,ROST,TTWO,MPLX,HLT,RSG,WIRE,TJX,BR,BK,APO,DKS,CRBG,VZ,LSXMA,GHC,BPOP,MTG,CTSH,MAIN,PVH,ABCB,META,RGA,FFIV,FTAI,LECO,TXT,CDW,SPXC,ERIE,HQY,GWW,FI,PNFP,REGN,EHC,UBER
2020-01-02,67.09260559082031,118.9225082397461,113.48999786376953,,96.2153549194336,329.80999755859375,27.00625991821289,137.59251403808594,89.33592224121094,61.54636764526367,92.97990417480469,17.750947952270508,93.84989166259766,13.531950950622559,93.77999877929688,14.062419891357422,94.90049743652344,32.41790771484375,27.97537612915039,228.38999938964844,,9.146049499511719,23.18386459350586,36.349998474121094,35.15999984741211,33.560630798339844,342261.0,102.12865447998047,51.15618896484375,213.74000549316406,287.739990234375,532.1780395507812,14.129632949829102,108.30000305175781,20.242345809936523,,160.53480529785156,530.7852172851562,30.964540481567383,77.41458129882812,60.040672302246094,14.130000114440918,112.4747085571289,122.08000183105469,16.662309646606445,110.4590835571289,84.36454772949219,57.616336822509766,58.588653564453125,115.42816162109375,44.545562744140625,41.630985260009766,41.725799560546875,,48.60197448730469,47.35004806518555,610.29443359375,51.7143669128418,12.848652839660645,58.382728576660156,31.83214569091797,104.75578308105469,40.06136703491211,209.77999877929688,149.35670471191406,140.75999450683594,963.4099731445312,91.5120620727539,45.22403335571289,137.36373901367188,50.790000915527344,150.09283447265625,72.25,325.7843017578125,115.5199966430664,61.09983444213867,373.3500061035156,51.976539611816406,30.989999771118164
2020-01-03,67.8111343383789,117.74131774902344,112.2699966430664,,94.72025299072266,325.8999938964844,26.716154098510742,137.6122283935547,89.07146453857422,61.456024169921875,93.79071044921875,17.940189361572266,90.74667358398438,13.662347793579102,92.73999786376953,14.238655090332031,93.74849700927734,31.952369689941406,27.641998291015625,226.17999267578125,,9.290026664733887,23.08883285522461,35.81999969482422,36.9900016784668,33.04164505004883,339155.0,103.80773162841797,49.81175994873047,213.97999572753906,290.80999755859375,541.9318237304688,14.12517261505127,109.77999877929688,20.45505142211914,,162.1092987060547,525.1759033203125,30.70316505432129,76.75012969970703,61.739139556884766,14.039999961853027,112.50357818603516,122.20999908447266,16.604415893554688,109.0120620727539,84.72142028808594,57.77574157714844,58.151851654052734,115.52141571044922,43.9769401550293,41.32526779174805,41.223907470703125,,48.08451461791992,47.384464263916016,610.456787109375,51.24925994873047,12.748841285705566,57.8547248840332,31.898334503173828,102.70740509033203,39.902008056640625,208.6699981689453,147.59689331054688,140.0,964.0700073242188,90.64505767822266,44.48820495605469,135.7120819091797,51.599998474121094,151.73788452148438,71.81999969482422,321.9566955566406,116.37000274658203,60.775390625,369.1600036621094,51.98405456542969,31.3700008392334
2020-01-06,68.90288543701172,117.23106384277344,112.97000122070312,,93.86592102050781,335.8299865722656,26.36450958251953,137.17855834960938,88.8070068359375,61.88066482543945,94.62039184570312,18.24298095703125,90.17788696289062,13.959356307983398,93.9000015258789,14.495674133300781,95.14399719238281,31.943422317504883,27.670570373535156,226.99000549316406,,9.379155158996582,22.968463897705078,35.52000045776367,34.83000183105469,32.332374572753906,340210.0,102.87297821044922,49.2198600769043,214.99000549316406,289.19000244140625,548.4592895507812,13.973526954650879,110.7699966430664,20.109407424926758,,163.8277587890625,519.3297119140625,31.008115768432617,77.07814025878906,61.58815002441406,14.149999618530273,113.05232238769531,124.69000244140625,17.119075775146484,108.4471435546875,85.08768463134766,56.56024932861328,58.52219009399414,116.56583404541016,44.38810348510742,41.56111526489258,41.57868957519531,,47.98102569580078,47.44346237182617,609.5878295898438,51.0825309753418,12.703471183776855,57.27956771850586,31.8909854888916,105.04414367675781,39.78016662597656,212.60000610351562,146.05482482910156,138.25,960.6799926757812,90.49588775634766,44.52796936035156,134.69052124023438,51.16999816894531,153.17770385742188,72.16000366210938,318.9607238769531,116.93000030517578,60.43186950683594,371.739990234375,51.79616928100586,31.579999923706055
2020-01-07,68.50164794921875,116.6168212890625,114.16999816894531,,92.9372787475586,330.75,26.12714958190918,138.33164978027344,88.60133361816406,61.03137969970703,94.27154541015625,18.01589012145996,90.45391082763672,13.937623023986816,95.0,14.45895767211914,95.34300231933594,31.49578285217285,27.689619064331055,225.9199981689453,,9.344877243041992,23.123676300048828,35.20000076293945,36.25,31.891250610351562,338901.0,101.8603744506836,49.81175994873047,214.24000549316406,291.75,550.5225830078125,13.87094497680664,110.05999755859375,20.233484268188477,,161.96536254882812,520.5443115234375,30.877412796020508,75.02587127685547,62.569496154785156,13.960000038146973,114.37125396728516,125.51000213623047,17.2799072265625,107.32717895507812,84.64628601074219,56.580169677734375,58.48420333862305,116.15550994873047,44.834251403808594,41.60477828979492,41.76905822753906,,47.447628021240234,47.16814041137695,605.0902099609375,50.591094970703125,12.594582557678223,56.87413787841797,31.898334503173828,105.05409240722656,39.508338928222656,213.05999755859375,144.36758422851562,136.99000549316406,957.9299926757812,90.43994903564453,44.508094787597656,134.5377655029297,50.5,151.98013305664062,72.30999755859375,319.29156494140625,116.4800033569336,59.992916107177734,373.1300048828125,51.27761459350586,32.810001373291016
2020-01-08,69.10818481445312,118.62958526611328,115.30000305175781,,93.92164611816406,339.260009765625,26.619447708129883,141.05174255371094,89.00291442871094,62.58540344238281,94.15841674804688,18.280826568603516,87.07463836669922,13.662347793579102,95.12999725341797,14.179909706115723,94.59850311279297,31.737510681152344,28.251604080200195,225.99000549316406,,9.146049499511719,23.24404525756836,35.2400016784668,36.310001373291016,31.882600784301758,339188.0,102.7431640625,50.20071029663086,213.11000061035156,297.0199890136719,549.2377319335938,13.826343536376953,111.29000091552734,20.49936294555664,,162.3791961669922,521.0973510742188,31.461172103881836,74.52120971679688,61.975040435791016,14.15999984741211,114.7082290649414,127.81999969482422,17.2799072265625,108.23900604248047,84.72142028808594,56.63993835449219,58.79755783081055,116.90155029296875,44.886741638183594,42.49575424194336,42.04597091674805,,47.53520584106445,47.18780517578125,605.6058349609375,51.28436279296875,12.540139198303223,57.260711669921875,31.935108184814453,105.63082122802734,39.976993560791016,215.22000122070312,143.23365783691406,136.44000244140625,958.0399780273438,90.73827362060547,43.92140197753906,134.33726501464844,49.79999923706055,150.8922882080078,73.33000183105469,322.66552734375,116.80000305175781,60.24101257324219,382.4200134277344,51.78114318847656,33.93000030517578
2020-01-09,71.03044128417969,120.7746353149414,118.62000274658203,,95.1938705444336,335.6600036621094,26.575496673583984,121.63645935058594,89.32611846923828,63.11845779418945,95.29920196533203,18.31867790222168,88.34603118896484,13.50297737121582,96.41000366210938,14.157879829406738,95.05249786376953,31.719600677490234,28.518310546875,228.64999389648438,,9.207754135131836,23.358081817626953,35.43000030517578,36.939998626708984,32.124778747558594,343263.0,102.75182342529297,51.122371673583984,217.4600067138672,298.510009765625,558.409912109375,13.79958438873291,113.76000213623047,20.260072708129883,,163.39590454101562,522.904541015625,31.731252670288086,75.17727661132812,62.276981353759766,14.489999771118164,117.57711029052734,128.02000427246094,17.402141571044922,108.12006378173828,85.42576599121094,56.62002182006836,59.48125076293945,119.4566879272461,45.03546142578125,43.50901412963867,41.70850372314453,,47.33812713623047,47.177974700927734,596.9638061523438,52.63579559326172,12.730690956115723,57.6190071105957,32.03805160522461,102.71735382080078,40.04261779785156,218.3000030517578,143.22459411621094,135.99000549316406,963.010009765625,91.13916015625,44.89588928222656,135.5402069091797,51.20000076293945,152.13558959960938,73.25,324.3288879394531,117.80000305175781,60.08833694458008,383.4700012207031,51.78114318847656,33.970001220703125
2020-01-10,71.53435516357422,120.27381134033203,120.05000305175781,,94.30237579345703,329.04998779296875,26.329345703125,119.4879379272461,89.11065673828125,63.3804817199707,95.24263000488281,18.470069885253906,87.71871948242188,13.430537223815918,97.87999725341797,14.077104568481445,94.15799713134766,31.75541877746582,28.556407928466797,226.6199951171875,,9.09805679321289,23.23771095275879,34.810001373291016,36.650001525878906,32.271827697753906,340185.0,104.17988586425781,50.71650314331055,217.42999267578125,292.3999938964844,558.4661865234375,13.826343536376953,112.4800033569336,20.17144203186035,,161.5065155029297,519.7444458007812,31.54829216003418,75.30342864990234,61.15410232543945,14.640000343322754,116.21966552734375,126.76000213623047,17.337814331054688,107.63442993164062,85.36003875732422,56.82923889160156,59.19638442993164,118.98107147216797,44.213138580322266,43.56142044067383,41.75176239013672,,47.45075225830078,46.804325103759766,588.5985107421875,52.407630920410156,12.603656768798828,57.17585754394531,32.06745910644531,99.91326141357422,39.555206298828125,218.05999755859375,141.65530395507812,135.14999389648438,961.6500244140625,90.0390625,44.040733337402344,135.91256713867188,49.869998931884766,150.45346069335938,73.94000244140625,322.571044921875,117.12999725341797,59.79252624511719,381.4100036621094,53.33683395385742,34.0099983215332
2020-01-13,73.16734313964844,121.46443176269531,121.13999938964844,,94.63668823242188,338.9200134277344,26.38209342956543,118.56153869628906,88.64051055908203,63.37142562866211,95.36520385742188,18.394372940063477,88.07837677001953,13.459511756896973,99.0199966430664,14.055071830749512,94.56500244140625,31.70169448852539,28.575458526611328,228.4499969482422,,9.262602806091309,23.65900421142578,34.970001220703125,35.47999954223633,31.934494018554688,342855.0,105.56468963623047,51.57051467895508,220.16000366210938,299.3999938964844,567.000732421875,14.093949317932129,103.06999969482422,19.967607498168945,,162.96401977539062,521.8677368164062,31.644123077392578,75.28660583496094,61.65420913696289,14.800000190734863,115.49763488769531,128.4499969482422,17.241310119628906,108.31828308105469,86.24286651611328,58.12442398071289,59.367305755615234,119.82035827636719,44.51057815551758,43.771060943603516,42.599769592285156,,47.579444885253906,47.10914611816406,596.209228515625,52.56559753417969,12.567363739013672,57.6661491394043,32.39099884033203,99.68455505371094,40.13634490966797,221.91000366210938,142.71661376953125,136.1999969482422,966.3900146484375,90.17891693115234,44.78650665283203,136.8577423095703,51.880001068115234,151.36767578125,72.69000244140625,325.5292053222656,118.52999877929688,60.06925964355469,378.92999267578125,57.62813186645508,34.13999938964844
2020-01-14,73.22332763671875,121.71015167236328,121.01000213623047,,95.24028778076172,338.69000244140625,26.593080520629883,116.94525909423828,87.73942565917969,63.506961822509766,95.02579498291016,18.583616256713867,88.98175048828125,13.481247901916504,99.37999725341797,14.091789245605469,93.47200012207031,31.692737579345703,27.89917755126953,227.1699981689453,,9.296883583068848,23.64950180053711,35.38999938964844,34.939998626708984,32.43617248535156,340706.0,104.5087661743164,51.3929443359375,219.9199981689453,296.17999267578125,571.1554565429688,13.92446517944336,107.83999633789062,20.091684341430664,,162.820068359375,522.1045532226562,31.365327835083008,75.63987731933594,61.32396697998047,14.90999984741211,114.52527618408203,126.93000030517578,17.44074249267578,108.12006378173828,86.53398132324219,58.114479064941406,59.55722427368164,119.4566879272461,44.624290466308594,42.775272369384766,42.746883392333984,,47.49095916748047,47.99409866333008,591.1004638671875,52.33743667602539,12.55828857421875,57.86415100097656,32.47924041748047,99.3365249633789,40.033233642578125,219.05999755859375,142.68942260742188,136.10000610351562,969.739990234375,89.84330749511719,45.09477233886719,137.44009399414062,52.560001373291016,151.38595581054688,72.18000030517578,321.5975341796875,117.55000305175781,60.7849235534668,387.6199951171875,58.281959533691406,34.84000015258789
2020-01-15,74.09114837646484,122.67398834228516,121.93000030517578,,95.0360107421875,339.07000732421875,26.66340446472168,119.51750946044922,88.86578369140625,63.96773910522461,96.29857635498047,18.772855758666992,87.73544311523438,13.575418472290039,99.5999984741211,14.128506660461426,93.10099792480469,31.513690948486328,28.127779006958008,228.35000610351562,,9.255745887756348,23.75403594970703,35.380001068115234,34.900001525878906,32.981101989746094,342550.0,104.71649932861328,51.16463851928711,220.97999572753906,303.0799865722656,581.1529541015625,14.085031509399414,107.36000061035156,20.14485740661621,,163.39590454101562,518.6778564453125,31.20849609375,76.9940414428711,61.474937438964844,14.760000228881836,113.37965393066406,126.61000061035156,17.234878540039062,108.65526580810547,86.9284439086914,58.682373046875,58.68360900878906,119.62451934814453,44.3443603515625,42.6355094909668,41.92481994628906,,47.539222717285156,48.55457305908203,589.8495483398438,52.732330322265625,12.621805191040039,58.31673049926758,32.77335739135742,98.18307495117188,39.639556884765625,221.14999389648438,142.7075653076172,136.1199951171875,970.9500122070312,89.34917449951172,45.08481979370117,138.05111694335938,52.83000183105469,152.02586364746094,70.97000122070312,320.6430358886719,118.51000213623047,59.75435256958008,390.75,58.244380950927734,35.0099983215332
